can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,team_name,price,us_id,us_player_name,us_games,us_time,us_goals,us_xG,us_assists,us_xA,us_shots,us_key_passes,us_yellow_cards,us_red_cards,us_position,us_team_title,us_npg,us_npxG,us_xGChain,us_xGBuildup,us_season,us_player_id,xG_per_90,xA_per_90,form_momentum,minutes_last_five,is_home,opponent_difficulty,opponent_team,set_piece_threat,matchup_advantage,implied_goal_prob,implied_cs_prob,volatility_index,pos_DEF,pos_FWD,pos_GK,pos_MID,position_orig,predicted_xP_per_90,predicted_xP_def,predicted_xP_off,upside_potential,position,avg_mins,base_xP,minutes_risk,risk_multiplier,gw19_strength,technical_score,market_score,tactical_score,gw19_xP,gw5_strength,long_term_xP,final_5gw_xP
True,True,,,154561,0,0,5,-5,1,1,4.5,4.5,2,David,3.5,1,False,,,60,154561.jpg,4.2,False,Raya Martín,35.8,False,,a,1,3,79.0,3239303,6756,1397304,19769,0.6,13.2,Raya,200.0,2024-07-04,1995-09-15,False,p154561,1710.0,0.0,0.0,9.0,12.0,0,0,0,1,0,31.0,4,326,308.8,20.3,0.0,33.0,15,156,0,0,19,0.00,0.04,0.04,13.64,,,,,,,[],95,15,349,3,770,88,241,14,0.0,1.63,0.0,0.0,0.72,0.63,86,1,74,7,67,4,6,1,1.0,0.47,0.0,Arsenal,6.0,9676,David Raya,19.0,1710.0,0.0,0.0,0,0.1079027578234672,0.0,2.0,1,0,GK,Arsenal,0,0,4.296801850199699,4.24730184301734,2025.0,9676,0.0,0.00567909251702459,0.0,"[90, 90, 90, 90, 90]",0,4,Bournemouth,0.0,1.17755180189763,0.11774999999999998,0.175,0.0,0.0,0.0,1.0,0.0,GK,4.151214599609375,4.151214599609375,,,GK,90.0,4.151214599609375,0.0,1.0,0.8963082797999741,3.7207680168564172,0.5397,2.35510360379526,2.4933147291872606,4.803970038915737,19.942310561633025,19.942310561633025
True,True,100.0,100.0,226597,1,-1,4,-4,4,2,3.7,3.7,15,Gabriel,2.7,5,True,,2025-11-17T12:00:07.436586Z,64,226597.jpg,7.5,False,dos Santos Magalhães,16.5,False,,a,1,3,97.0,4433282,216454,4894717,1821,0.4,15.2,Gabriel,30.0,2020-09-01,1997-12-19,False,p226597,1085.0,2.0,2.0,8.0,5.0,0,0,0,1,0,0.0,16,321,366.4,64.2,127.0,55.6,93,18,12,105,12,1.53,0.70,2.23,7.16,,,,,,,[],48,21,253,74,132,21,120,37,0.13,0.0,0.06,0.19,0.59,0.41,57,1,125,44,2,1,20,7,1.0,0.66,8.71,Arsenal,6.4,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,"[0, 0, 0, 19, 76]",0,4,Bournemouth,2.1069124423963133,0.9390375943971601,0.08431666666666666,0.13124999999999998,0.0,1.0,0.0,0.0,0.0,DEF,8.038731575012207,8.038731575012207,,,DEF,60.27777777777778,5.383965283264349,866.4,0.85,0.8963082797999741,4.101838762313631,0.29518999999999995,3.9849876311906334,2.9364739073949417,4.803970038915737,21.984746724659747,21.984746724659747
True,True,100.0,100.0,462424,0,0,-1,1,0,2,3.0,3.0,2,William,2.0,6,False,,2025-11-30T22:30:08.957329Z,59,462424.jpg,3.5,False,Saliba,11.7,False,,a,1,3,53.0,1257639,8885,1786257,8266,0.3,9.0,Saliba,73.0,2019-07-25,2001-03-24,False,p462424,1174.0,0.0,0.0,6.0,7.0,0,0,0,0,0,0.0,1,251,238.4,43.9,22.0,30.4,66,53,14,80,14,0.29,0.29,0.58,8.82,,,,,,,[],153,65,300,99,330,109,257,85,0.02,0.0,0.02,0.04,0.68,0.54,98,6,195,70,116,43,34,10,1.07,0.46,6.13,Arsenal,5.9,6888,William Saliba,15.0,1169.0,0.0,0.4582015872001648,0,0.0953327193856239,2.0,1.0,0,0,D S,Arsenal,0,0.4582015872001648,6.448532555252314,6.058046910911799,2025.0,6888,0.035126186412278396,0.007308300463974575,0.002,"[0, 90, 90, 90, 90]",0,4,Bournemouth,0.33730834752981265,0.9390375943971601,0.08413333333333332,0.13124999999999998,0.0,1.0,0.0,0.0,0.0,DEF,4.071160316467285,4.071160316467285,,,DEF,65.22222222222223,2.9503346984769094,1296.0,0.85,0.8963082797999741,2.2477480056621117,0.29480499999999993,2.2153835363241328,1.6553922100958824,4.803970038915737,12.047321571818083,12.047321571818083
True,True,75.0,75.0,466075,0,0,2,-2,2,2,2.5,2.5,0,Riccardo,2.3,7,False,Muscle injury - 75% chance of playing,2025-12-27T22:00:11.031357Z,57,466075.jpg,4.8,False,Calafiori,9.1,False,,d,1,3,77.0,2529117,443,1969259,24707,0.4,13.5,Calafiori,106.0,2024-07-29,2002-05-19,False,p466075,1256.0,1.0,2.0,9.0,7.0,0,0,0,5,0,0.0,4,287,222.0,104.8,219.0,54.5,57,57,28,85,16,2.49,0.36,2.85,7.09,,,,,,,[],164,68,182,46,65,4,129,43,0.18,0.0,0.03,0.21,0.51,0.5,123,13,159,59,29,12,49,16,1.15,0.64,6.09,Arsenal,5.7,8129,Riccardo Calafiori,16.0,1298.0,1.0,2.3737629167735577,2,0.3853544294834137,22.0,4.0,5,0,D,Arsenal,1,2.3737629167735577,5.777353584766388,4.705289930105209,2025.0,8129,0.17009447652039822,0.027612976634957986,0.007,"[85, 0, 90, 0, 0]",0,4,Bournemouth,3.138535031847134,0.9390375943971601,0.08821666666666667,0.13124999999999998,0.0,1.0,0.0,0.0,0.0,DEF,5.516946315765381,5.516946315765381,,,DEF,69.77777777777777,4.277336155926739,1840.0,0.85,0.8963082797999741,3.2587400402381896,0.30338,5.016610220641454,2.7237060642473856,4.803970038915737,17.465965528526606,17.465965528526606
True,True,100.0,75.0,445122,0,0,9,-9,3,2,4.5,3.4,9,Jurriën,3.5,8,True,,2025-12-27T22:00:11.070756Z,64,445122.jpg,5.3,False,Timber,28.4,False,,a,1,3,95.0,5177689,15877,2337844,46775,0.5,14.8,J.Timber,152.0,2023-07-14,2001-06-17,False,p445122,1459.0,2.0,4.0,8.0,10.0,0,0,0,2,0,0.0,7,342,332.4,251.2,303.0,88.9,45,58,44,89,16,4.03,0.82,4.85,9.43,,,,,,,[],79,34,60,10,37,1,41,3,0.25,0.0,0.05,0.3,0.58,0.62,61,2,75,26,14,7,9,2,0.99,0.49,5.49,Arsenal,6.4,11707,Jurriën Timber,18.0,1473.0,2.0,3.001949965953827,3,1.2925457386299968,21.0,18.0,2,0,D S,Arsenal,2,3.001949965953827,7.873902924358845,6.372387234121561,2025.0,11707,0.18517854484979057,0.07973208805805326,0.008,"[90, 90, 90, 0, 82]",0,4,Bournemouth,3.7381768334475667,0.9390375943971601,0.10038333333333332,0.13124999999999998,0.0,1.0,0.0,0.0,0.0,DEF,5.815000534057617,5.815000534057617,,,DEF,81.05555555555556,5.23708998715436,1248.6399999999999,0.85,0.8963082797999741,3.989940049912394,0.32892999999999994,5.616252022241887,3.2168994294045747,4.803970038915737,21.384999880985877,21.384999880985877
True,True,100.0,100.0,223340,0,0,3,-3,1,3,7.2,7.2,6,Bukayo,6.2,16,False,,2025-08-23T22:30:05.759392Z,103,223340.jpg,5.4,False,Saka,21.4,False,,a,1,3,91.0,3658318,14403,2894511,13181,0.6,8.8,Saka,241.0,2018-11-28,2001-09-05,False,p223340,1320.0,4.0,6.0,7.0,8.0,0,0,0,1,0,0.0,10,338,358.0,494.0,483.0,133.5,8,73,24,105,15,5.19,4.05,9.24,8.78,2.0,,,,1.0,,[],56,17,8,8,9,3,5,4,0.35,0.0,0.28,0.63,0.6,0.55,5,3,11,5,12,6,15,5,1.02,0.48,7.16,Arsenal,10.3,7322,Bukayo Saka,17.0,1332.0,4.0,5.914452238939703,2,5.036942150443792,43.0,35.0,1,0,F M S,Arsenal,3,5.1532834013924,13.75076748430729,6.11801277846098,2025.0,7322,0.4032581072004343,0.34342787389389495,0.017,"[78, 90, 90, 90, 82]",0,4,Bournemouth,6.543181818181818,1.0791755466134825,0.12589999999999998,0.0875,0.0,0.0,0.0,0.0,1.0,MID,6.204371452331543,,6.204371452331543,6.204371452331543,MID,73.33333333333333,5.055413775973849,25.6,1.0,0.8963082797999741,4.531209225220213,0.28595,8.701532911408783,4.091696194891863,4.803970038915737,24.286056314100247,24.286056314100247
True,True,100.0,100.0,184029,0,0,-2,2,1,3,5.0,5.0,5,Martin,4.0,17,False,,2025-10-04T20:00:07.945438Z,78,184029.jpg,2.9,False,Ødegaard,1.9,False,,a,1,3,38.0,234782,10857,452522,864,0.5,4.9,Ødegaard,161.0,2021-08-20,1998-12-17,False,p184029,714.0,1.0,2.0,3.0,6.0,0,0,0,0,0,0.0,3,166,187.4,337.4,123.0,64.8,11,38,11,60,9,0.93,1.91,2.84,8.95,4.0,,,,3.0,,[],193,79,34,32,142,86,91,56,0.12,0.0,0.24,0.36,1.13,0.76,17,12,49,25,197,85,138,44,1.13,0.38,7.56,Arsenal,7.8,2517,Martin Odegaard,13.0,700.0,1.0,0.9282014351338148,2,2.8065380714833736,17.0,23.0,0,0,M S,Arsenal,1,0.9282014351338148,7.136362377554178,4.5092368721961975,2025.0,2517,0.11700018089922036,0.35376530312815635,0.004,"[90, 33, 87, 90, 90]",0,4,Bournemouth,1.550420168067227,1.0791755466134825,0.09580000000000001,0.0875,0.0,0.0,0.0,0.0,1.0,MID,4.789985656738281,,4.789985656738281,4.789985656738281,MID,39.666666666666664,2.1111418264883532,507.6,0.85,0.8963082797999741,1.6083988140765184,0.233275,3.708771261294192,1.6159361592970978,4.803970038915737,8.62058276999911,8.62058276999911
True,True,100.0,100.0,116216,0,0,-1,1,2,3,5.2,5.2,13,Leandro,4.2,20,False,,2025-11-27T10:00:06.582480Z,69,116216.jpg,5.1,False,Trossard,1.2,False,,a,1,3,77.0,259550,20541,171024,1377,0.6,11.2,Trossard,21.0,2023-01-20,1994-12-04,False,p116216,1042.0,5.0,4.0,5.0,8.0,0,0,0,0,0,0.0,9,265,324.0,320.6,337.0,98.3,10,42,11,63,11,3.82,2.05,5.87,7.97,,,,,4.0,,[],85,27,38,35,27,15,28,22,0.33,0.0,0.18,0.51,0.69,0.69,41,25,43,22,18,10,171,56,0.95,0.43,5.44,Arsenal,6.9,7698,Leandro Trossard,15.0,1064.0,5.0,4.902295336127281,4,2.6626490093767643,27.0,21.0,0,0,F M S,Arsenal,5,4.902295336127281,9.102329581975935,3.31045850366354,2025.0,7698,0.4234228217384408,0.22997928104021956,0.016,"[40, 33, 79, 81, 90]",0,4,Bournemouth,2.9107485604606524,1.0791755466134825,0.10763333333333332,0.0875,0.0,0.0,0.0,0.0,1.0,MID,6.650323867797852,,6.650323867797852,6.650323867797852,MID,57.888888888888886,4.277553993978618,545.04,0.85,0.8963082797999741,3.258906002780311,0.2539833333333333,5.069099653687617,2.719467932127679,4.803970038915737,17.46685504287998,17.46685504287998
True,True,50.0,50.0,204480,0,0,7,-7,3,3,2.8,2.8,0,Declan,4.5,21,True,Knee injury - 50% chance of playing,2025-12-30T16:00:11.463587Z,72,204480.jpg,5.7,False,Rice,24.4,False,,d,1,3,102.0,4061734,4559,2108937,95684,0.6,14.2,Rice,241.0,2023-07-15,1999-01-14,False,p204480,1515.0,2.0,7.0,8.0,11.0,0,0,0,1,0,0.0,15,412,437.0,536.0,179.0,115.3,65,88,29,182,17,2.06,3.57,5.63,10.17,1.0,,1.0,,,,[],20,6,4,4,87,56,12,8,0.12,0.0,0.21,0.33,0.6,0.65,32,20,33,17,8,5,13,4,1.01,0.48,10.81,Arsenal,7.2,5553,Declan Rice,18.0,1523.0,2.0,2.735985154286027,3,3.6296213194727898,25.0,31.0,1,0,D M S,Arsenal,2,2.735985154286027,11.34311829507351,7.843659475445747,2025.0,5553,0.16253377154174417,0.21562106848353205,0.008,"[90, 90, 90, 90, 0]",0,4,Bournemouth,3.5633663366336634,1.0791755466134825,0.12475,0.0875,0.0,0.0,0.0,0.0,1.0,MID,6.05886173248291,,6.05886173248291,6.05886173248291,MID,84.16666666666667,5.666157731303462,1296.0,0.85,0.8963082797999741,4.316830475836941,0.2839375,5.721717429860629,3.3879399738905964,4.803970038915737,23.137044180409706,23.137044180409706
True,True,,,195384,0,0,-2,2,1,3,4.3,4.3,2,Mikel,3.3,22,False,,,58,195384.jpg,3.2,False,Merino Zazón,2.7,False,,a,1,3,57.0,810094,1256,574233,6949,0.6,9.8,Merino,200.0,2024-08-27,1996-06-22,False,p195384,921.0,3.0,3.0,4.0,8.0,0,0,0,1,0,0.0,4,203,256.6,173.5,173.0,60.0,26,48,23,97,10,2.24,0.94,3.18,6.21,,,,,,,[],135,47,106,77,92,57,103,62,0.22,0.0,0.09,0.31,0.61,0.78,106,69,80,36,156,68,112,37,0.98,0.39,9.48,Arsenal,5.8,5304,Mikel Merino,18.0,909.0,3.0,3.393694076687097,3,1.412845216691494,15.0,11.0,1,0,F M S,Arsenal,3,3.3936940766870975,6.923883758485317,3.121890734881162,2025.0,5304,0.33163134299873914,0.13806305049102546,0.009,"[45, 32, 2, 90, 72]",0,4,Bournemouth,1.6905537459283388,1.0791755466134825,0.09954999999999999,0.0875,0.0,0.0,0.0,0.0,1.0,MID,5.569638252258301,,5.569638252258301,5.569638252258301,MID,51.166666666666664,3.16644248785796,944.1600000000001,0.85,0.8963082797999741,2.4123923264708904,0.23983749999999998,3.8489048391553036,2.047928381066506,4.803970038915737,12.92977061537653,12.92977061537653
