can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,team_name,price,us_id,us_player_name,us_games,us_time,us_goals,us_xG,us_assists,us_xA,us_shots,us_key_passes,us_yellow_cards,us_red_cards,us_position,us_team_title,us_npg,us_npxG,us_xGChain,us_xGBuildup,us_season,us_player_id,xG_per_90,xA_per_90,form_momentum,minutes_last_five,is_home,opponent_difficulty,opponent_team,set_piece_threat,matchup_advantage,implied_goal_prob,implied_cs_prob,volatility_index,pos_DEF,pos_FWD,pos_GK,pos_MID,position_orig,predicted_xP_per_90,predicted_xP_def,predicted_xP_off,upside_potential,position,avg_mins,base_xP,minutes_risk,risk_multiplier,gw19_strength,technical_score,market_score,tactical_score,gw19_xP,availability_score,risk_adjusted_xP,gw5_strength,long_term_xP,final_5gw_xP,is_captain
True,True,100.0,100.0,223094,0,0,11,-11,8,4,8.3,8.3,0,Erling,7.8,430,True,,2025-09-24T06:00:06.159318Z,151,223094.jpg,8.5,False,Haaland,74.2,False,,a,13,43,153.0,6523891,3556,874626,2404,0.5,10.1,Haaland,161.0,2022-07-01,2000-07-21,False,p223094,1552.0,19.0,4.0,9.0,16.0,0,0,1,0,0,0.0,31,636,774.6,126.9,904.0,180.7,32,21,7,60,18,16.19,1.20,17.39,18.99,,,,,1.0,,[],1,1,158,12,1,1,1,1,0.94,0.0,0.07,1.01,1.1,0.93,1,1,1,1,1,1,1,1,1.04,0.52,3.48,Man City,15.1,8260,Erling Haaland,18.0,1576.0,19.0,17.529928244650364,4,2.985614763572812,68.0,10.0,0,0,F,Manchester City,18,16.007590480148792,19.22219113260508,2.778261484578252,2025.0,8260,1.0165551172799823,0.173134876753578,0.049,"[68, 90, 90, 90, 0]",1,3,Chelsea,8.242268041237114,0.9049530702250367,0.15433333333333335,0.11666666666666665,0.0,0.0,1.0,0.0,0.0,FWD,8.872352600097656,,8.872352600097656,8.872352600097656,FWD,86.22222222222223,8.499932861328126,1215.04,0.765,0.8891960788971491,5.781951832954227,0.5006166666666666,10.052174181687187,5.051595752814551,1.0,5.051595752814551,5.3462147278555445,34.76348668049705,34.76348668049705,True
True,True,100.0,100.0,437730,0,0,7,-7,3,3,5.2,6.2,5,Antoine,6.2,82,True,,2025-11-17T13:00:08.045504Z,77,437730.jpg,6.3,False,Semenyo,46.5,False,,a,4,91,113.0,8921101,23157,4580973,23112,0.8,14.7,Semenyo,81.0,2023-01-27,2000-01-07,False,p437730,1620.0,9.0,5.0,5.0,33.0,0,0,1,4,0,0.0,14,361,514.8,330.7,588.0,143.5,25,90,26,141,18,6.38,1.80,8.18,28.45,,,4.0,,3.0,,[],7,2,35,33,2,1,3,2,0.35,0.0,0.1,0.45,1.58,1.83,18,13,10,4,4,1,2,1,1.0,0.28,7.83,Bournemouth,7.7,11363,Antoine Semenyo,18.0,1620.0,9.0,7.73580670170486,3,2.443577826023102,45.0,24.0,4,0,M,Bournemouth,8,6.2134690042585135,10.206987030804155,2.9074178226292133,2025.0,11363,0.42976703898360336,0.1357543236679501,0.021,"[90, 90, 90, 90, 90]",1,4,Arsenal,3.2666666666666675,0.7269446390382487,0.1359,0.0875,0.0,0.0,0.0,0.0,1.0,MID,5.412898063659668,,5.412898063659668,5.412898063659668,MID,90.0,5.412898063659668,0.0,1.0,0.6391323340566891,3.4595581734377365,0.30345,4.720555944743165,2.764925275667501,1.0,2.764925275667501,4.701838527337518,25.450572660265678,25.450572660265678,False
True,True,100.0,100.0,244850,0,0,4,-4,3,3,6.7,5.7,1,Morgan,6.7,47,False,,2025-08-10T22:00:04.458365Z,74,244850.jpg,4.9,False,Rogers,24.5,False,,a,2,7,93.0,3607813,88547,1637386,11030,0.9,12.6,Rogers,241.0,2024-02-01,2002-07-26,False,p244850,1687.0,7.0,3.0,5.0,23.0,0,0,0,4,0,0.0,10,326,419.6,301.6,383.0,110.3,27,66,19,112,19,3.03,2.07,5.10,28.07,,,,,,,[],29,8,41,37,18,9,17,13,0.16,0.0,0.11,0.27,1.5,1.23,23,16,6,2,26,13,12,3,1.01,0.27,5.98,Aston Villa,7.4,12412,Morgan Rogers,19.0,1700.0,7.0,2.9946914818137884,3,3.638494126498699,35.0,20.0,4,0,F M,Aston Villa,7,2.9946914818137884,6.778846090659499,2.6347873490303755,2025.0,12412,0.1597642165757208,0.19411053431231948,0.008,"[90, 90, 90, 90, 81]",1,2,Nott'm Forest,2.043272080616479,1.118660306973615,0.14038333333333333,0.175,0.0,0.0,0.0,0.0,1.0,MID,4.962002754211426,,4.962002754211426,4.962002754211426,MID,90.0,4.962002754211426,12.959999999999999,1.0,1.1843691240389493,5.876842855484241,0.3769208333333333,4.280592694563708,3.907616216654862,1.0,3.907616216654862,4.897364964294816,24.30073844120942,24.30073844120942,False
True,True,75.0,0.0,592031,0,0,0,0,0,3,1.9,2.5,4,Yankuba,2.5,160,False,Knock - 75% chance of playing,2025-12-31T00:00:09.377936Z,60,592031.jpg,4.2,False,Minteh,6.3,False,,d,6,36,79.0,1868972,5270,1255712,10857,0.4,13.2,Minteh,78.0,2024-07-01,2004-07-22,False,p592031,1543.0,1.0,8.0,6.0,23.0,0,0,0,0,0,0.0,6,296,290.4,418.2,412.0,112.4,20,64,32,116,18,2.79,2.72,5.51,23.57,1.0,,,,,,[],106,33,15,15,13,5,15,11,0.16,0.0,0.16,0.32,1.37,1.34,89,57,139,65,68,28,70,24,1.05,0.35,6.77,Brighton,6.0,12759,Yankuba Minteh,19.0,1569.0,1.0,2.953877091407776,4,3.774843843653798,29.0,28.0,0,0,M S,Brighton,1,2.953877091407776,10.313592933118343,5.394190872088075,2025.0,12759,0.17229354389287094,0.2201788372837601,0.008,"[71, 90, 70, 45, 57]",1,2,Burnley,3.403110823071938,1.1953184350468473,0.11668333333333332,0.175,0.0,0.0,0.0,0.0,1.0,MID,4.608017444610596,,4.608017444610596,4.608017444610596,MID,85.72222222222223,4.3889943932309565,227.44,1.0,1.6204995172541439,7.112363295461909,0.33544583333333333,5.793747693165633,4.815564936364082,0.75,3.611673702273061,5.383005704393848,23.625981855314855,17.719486391486143,False
True,True,100.0,100.0,180736,0,0,6,-6,2,2,3.7,4.2,1,Trevoh,4.2,226,True,,2025-09-28T00:00:08.404840Z,56,180736.jpg,5.3,False,Chalobah,19.4,False,,a,7,8,95.0,3349002,8660,1262713,44568,0.8,17.0,Chalobah,241.0,2018-02-16,1999-07-05,False,p180736,1560.0,3.0,1.0,8.0,20.0,0,0,0,3,1,0.0,7,355,441.4,81.6,143.0,66.6,121,71,24,145,18,1.26,0.68,1.94,22.68,,,,,,,[],18,6,222,59,119,18,84,18,0.07,0.0,0.04,0.11,1.31,1.15,128,14,42,14,13,6,17,6,1.04,0.46,8.37,Chelsea,5.6,6615,Trevoh Chalobah,18.0,1570.0,3.0,1.3682188214734197,0,0.1598968133330345,13.0,3.0,3,1,D,Chelsea,3,1.3682188214734197,6.948269464075565,6.816596433520317,2025.0,6615,0.07893570123885113,0.009224816153828913,0.004,"[90, 90, 90, 90, 90]",0,4,Man City,1.6500000000000001,0.5842853182766519,0.1069,0.13124999999999998,0.0,1.0,0.0,0.0,0.0,DEF,5.484182834625244,5.484182834625244,,,DEF,86.66666666666667,5.281064951861347,0.0,0.9,0.6633272336105491,3.152766784532233,0.34261499999999995,2.8185706365533036,2.2428820195767774,1.0,2.2428820195767774,4.9456189903687635,23.50632160376674,23.50632160376674,False
True,True,75.0,100.0,106611,0,0,3,-3,2,2,3.0,4.0,0,Michael,4.0,295,False,Knock - 75% chance of playing,2025-12-31T00:00:09.695579Z,48,106611.jpg,5.4,False,Keane,7.6,False,,d,9,11,91.0,1173298,16307,271831,17747,0.8,19.0,Keane,241.0,2017-07-03,1993-01-11,False,p106611,1504.0,2.0,0.0,6.0,20.0,0,0,0,0,0,0.0,8,268,464.6,25.3,133.0,62.2,162,48,19,181,17,1.16,0.13,1.29,25.21,,,,,,,[],12,5,341,120,128,20,94,23,0.07,0.0,0.01,0.08,1.51,1.2,341,60,46,15,10,4,57,18,1.02,0.36,10.83,Everton,4.8,1653,Michael Keane,17.0,1506.0,2.0,1.7863516621291635,0,0.097673699259758,12.0,1.0,0,0,D,Everton,2,1.7863516621291637,2.8810768434777856,2.097064611501992,2025.0,1653,0.1068960436114526,0.005844835726980199,0.005,"[90, 90, 90, 90, 0]",1,3,Brentford,1.5917553191489364,0.8763179839439168,0.10413333333333334,0.175,0.0,1.0,0.0,0.0,0.0,DEF,5.441134929656982,5.441134929656982,,,DEF,83.55555555555556,5.051522798891421,1296.0,0.85,1.0634307987543719,4.56615318620837,0.37617999999999996,3.3443912870367702,3.064808850511539,0.75,2.2986066378836543,5.30457950461958,22.776773660200273,17.082580245150204,False
True,True,100.0,100.0,460842,0,0,-1,1,2,3,2.7,2.7,0,Mohammed,2.7,582,False,,2025-11-05T15:30:08.650723Z,64,460842.jpg,4.2,False,Kudus,14.1,False,,a,18,6,71.0,3216283,5715,4583236,5590,0.4,11.1,Kudus,81.0,2025-07-10,2000-08-02,False,p460842,1427.0,2.0,6.0,6.0,20.0,0,0,0,3,0,0.0,7,251,327.2,409.5,261.0,99.7,7,88,29,124,17,1.69,2.39,4.08,21.91,2.0,,1.0,,,,[],81,26,17,17,51,32,26,21,0.11,0.0,0.15,0.26,1.38,1.26,63,40,126,57,69,29,24,8,1.07,0.38,7.82,Spurs,6.4,12027,Mohammed Kudus,17.0,1469.0,2.0,2.2172170290723443,5,2.574139247648418,23.0,21.0,3,0,F M,Tottenham,2,2.2172170290723443,4.635795935988426,1.2060377895832062,2025.0,12027,0.13983849517625158,0.16234935689443422,0.007,"[79, 79, 57, 84, 0]",1,2,Sunderland,3.396110721793973,0.9378903539208882,0.11371666666666667,0.175,0.0,0.0,0.0,0.0,1.0,MID,5.268974304199219,,5.268974304199219,5.268974304199219,MID,79.27777777777777,4.641250822279188,981.3599999999999,0.85,0.870079744435395,3.4325195799128565,0.3302541666666666,5.271891429635749,2.869714325883578,1.0,2.869714325883578,5.7040487197879415,22.50283268938088,22.50283268938088,False
True,True,100.0,100.0,209036,0,0,8,-8,3,2,4.3,4.3,0,Marc,4.3,260,True,,2025-11-10T10:00:08.937102Z,53,209036.jpg,5.6,False,Guéhi,41.7,False,,a,8,31,95.0,4928234,11202,1396416,24233,0.8,17.9,Guéhi,241.0,2021-07-18,2000-07-13,False,p209036,1530.0,2.0,4.0,6.0,20.0,0,0,0,3,0,0.0,8,334,427.2,128.8,158.0,71.4,110,74,28,138,17,1.57,1.45,3.02,21.89,,,,,,,[],25,10,153,37,104,14,72,12,0.09,0.0,0.09,0.18,1.29,1.18,187,26,36,12,9,3,3,1,1.0,0.35,8.12,Crystal Palace,5.3,7603,Marc Guehi,17.0,1530.0,2.0,1.8560129161924124,2,1.7415820085443556,11.0,9.0,3,0,D,Crystal Palace,2,1.8560129161924124,7.09083756711334,5.538386567495763,2025.0,7603,0.10917723036425955,0.10244600050260916,0.005,"[90, 90, 90, 90, 0]",0,4,Newcastle,1.8588235294117645,1.077496042514699,0.10635000000000001,0.13124999999999998,0.0,1.0,0.0,0.0,0.0,DEF,5.583884239196777,5.583884239196777,,,DEF,85.0,5.27366844813029,1296.0,0.85,1.0602915636958101,4.752882240489123,0.34146,4.013815614441163,3.281642243132794,1.0,3.281642243132794,4.978695301809891,22.317590077107933,22.317590077107933,False
True,True,100.0,100.0,226597,1,-1,4,-4,4,2,3.7,3.7,15,Gabriel,2.7,5,True,,2025-11-17T12:00:07.436586Z,64,226597.jpg,7.5,False,dos Santos Magalhães,16.5,False,,a,1,3,97.0,4436909,220081,4894748,1852,0.4,15.2,Gabriel,30.0,2020-09-01,1997-12-19,False,p226597,1085.0,2.0,2.0,8.0,5.0,0,0,0,1,0,0.0,16,321,366.4,64.2,127.0,55.6,93,18,12,105,12,1.53,0.70,2.23,7.16,,,,,,,[],48,21,253,74,132,21,120,37,0.13,0.0,0.06,0.19,0.59,0.41,57,1,125,44,2,1,20,7,1.0,0.66,8.71,Arsenal,6.4,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,"[0, 0, 0, 19, 76]",0,4,Bournemouth,2.1069124423963133,0.9390375943971601,0.08431666666666666,0.13124999999999998,0.0,1.0,0.0,0.0,0.0,DEF,8.038731575012207,8.038731575012207,,,DEF,60.27777777777778,5.383965283264349,866.4,0.85,0.8963082797999742,4.101838762313632,0.29518999999999995,3.9849876311906334,2.936473907394942,1.0,2.936473907394942,4.803970038915739,21.984746724659757,21.984746724659757,False
True,True,100.0,100.0,221466,0,0,4,-4,1,2,2.0,3.0,3,Marcos,3.0,72,False,,2025-12-06T22:00:07.547408Z,49,221466.jpg,4.5,False,Senesi Barón,15.5,False,,a,4,91,81.0,4044441,4927,2415502,17399,0.6,16.5,Senesi,10.0,2022-08-08,1997-05-10,False,p221466,1578.0,0.0,3.0,5.0,34.0,0,0,0,6,0,0.0,6,266,616.8,248.1,99.0,96.4,199,79,33,232,18,0.56,2.92,3.48,27.15,,,,,,,[],2,1,64,12,178,38,31,1,0.03,0.0,0.17,0.2,1.55,1.94,303,52,103,34,42,20,21,8,1.03,0.29,13.23,Bournemouth,4.9,10864,Marcos Senesi,18.0,1588.0,0.0,0.7309346375986934,3,2.364242297597229,7.0,17.0,6,0,D,Bournemouth,0,0.7309346375986934,6.414624554105103,4.524408049881458,2025.0,10864,0.04168828731551483,0.13484271659299785,0.002,"[61, 90, 90, 90, 90]",1,4,Arsenal,1.129277566539924,0.6515030759705445,0.1021,0.13124999999999998,0.0,1.0,0.0,0.0,0.0,DEF,4.61567497253418,4.61567497253418,,,DEF,87.66666666666667,4.496009325098108,134.56,1.0,0.6391323340566891,2.8735449338905936,0.33253499999999997,2.432283718481013,2.0229897106414994,1.0,2.0229897106414994,4.701838527337518,21.13950986401504,21.13950986401504,False
